City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Weather,Wind Speed
0,Ushuaia,75,NE,2021-06-01 02:08:21,93,-54.8,-68.3,29.86,broken clouds,5.75
1,Albany,53,NE,2021-06-01 02:08:21,88,42.6001,-73.9662,54.45,broken clouds,4.94
2,Tarabuco,100,NE,2021-06-01 02:08:21,83,-19.1667,-64.9167,45.55,overcast clouds,3.15
3,Mataura,62,NE,2021-06-01 02:08:22,72,-46.1927,168.8643,49.48,broken clouds,3.31
4,Bredasdorp,10,NE,2021-06-01 02:08:22,90,-34.5322,20.0403,50.29,clear sky,6.6
5,Kango,100,NE,2021-06-01 02:08:22,98,0.1943,10.0951,74.21,moderate rain,2.73
6,Rikitea,72,NE,2021-06-01 02:06:17,67,-23.1203,-134.9692,73.4,broken clouds,16.31
7,Souillac,20,NE,2021-06-01 02:08:23,82,-20.5167,57.5167,70.36,few clouds,7.85
8,Necochea,100,NE,2021-06-01 02:08:23,87,-38.5473,-58.7368,55.04,overcast clouds,12.84
9,Phalombe,86,NE,2021-06-01 02:08:23,92,-15.8064,35.6507,61.09,overcast clouds,3.33
10,Bluff,87,NE,2021-06-01 02:08:23,75,-46.6,168.3333,49.8,overcast clouds,14.72
11,Thompson,100,NE,2021-06-01 02:04:29,87,55.7435,-97.8558,49.12,overcast clouds,4.88
12,Nelson Bay,100,NE,2021-06-01 02:08:23,72,-32.7167,152.15,65.1,overcast clouds,1.99
13,Vila Velha,90,NE,2021-06-01 02:08:24,86,-20.3297,-40.2925,71.94,light intensity drizzle,11.01
14,Bengkulu,65,NE,2021-06-01 02:07:34,80,-3.8004,102.2655,81.0,broken clouds,1.95
15,Seddon,0,NE,2021-06-01 02:08:24,56,-37.8068,144.8916,60.3,clear sky,8.99
16,Bezenchuk,15,NE,2021-06-01 02:08:24,87,52.982,49.4333,54.54,few clouds,6.53
17,Kahului,40,NE,2021-06-01 02:08:25,78,20.8947,-156.47,85.26,scattered clouds,19.57
18,Butaritari,36,NE,2021-06-01 02:08:25,77,3.0707,172.7902,83.55,light rain,17.98
19,Avarua,40,NE,2021-06-01 02:08:25,61,-21.2078,-159.775,77.05,scattered clouds,8.05
20,Pochutla,33,NE,2021-06-01 02:08:25,80,15.7432,-96.4661,81.82,scattered clouds,3.83
21,Kruisfontein,24,NE,2021-06-01 02:08:26,79,-34.0033,24.7314,46.89,few clouds,9.46
22,Yellowknife,90,NE,2021-06-01 02:05:52,52,62.456,-114.3525,60.33,overcast clouds,1.01
23,Ponta Do Sol,42,NE,2021-06-01 02:08:26,79,32.6667,-17.1,65.71,scattered clouds,3.33
24,Atikokan,22,NE,2021-06-01 02:08:27,64,48.7555,-91.6216,55.44,few clouds,5.5
25,Bay Roberts,100,NE,2021-06-01 02:08:27,88,47.5999,-53.2648,49.05,overcast clouds,1.99
26,Qaanaaq,100,NE,2021-06-01 02:08:28,94,77.484,-69.3632,32.4,light snow,5.37
27,Oriximina,88,NE,2021-06-01 02:03:38,82,-1.7656,-55.8661,78.3,overcast clouds,3.71
28,Verkhoyansk,95,NE,2021-06-01 02:08:28,56,67.5447,133.385,55.2,overcast clouds,1.25
29,Souto,78,NE,2021-06-01 02:08:28,88,40.9868,-8.6223,62.49,broken clouds,8.63
30,Cap Malheureux,2,NE,2021-06-01 02:08:28,80,-19.9842,57.6142,70.47,clear sky,5.01
31,Ternuvate,100,NE,2021-06-01 02:08:29,93,47.8305,36.1276,53.08,overcast clouds,18.59
32,Tautira,7,NE,2021-06-01 02:08:29,63,-17.7333,-149.15,84.22,clear sky,14.7
33,Husavik,96,NE,2021-06-01 02:08:29,67,66.0449,-17.3389,46.42,overcast clouds,5.91
34,Jamestown,1,NE,2021-06-01 02:08:29,58,42.097,-79.2353,58.64,clear sky,6.91
35,Kwakoa,97,NE,2021-06-01 02:08:29,86,-3.7667,37.7167,66.2,overcast clouds,1.01
36,Cochrane,53,NE,2021-06-01 02:08:30,33,51.1834,-114.4687,73.62,broken clouds,5.7
37,Aykhal,100,NE,2021-06-01 02:08:30,48,66.0,111.5,60.28,overcast clouds,18.3
38,San Patricio,50,NE,2021-06-01 02:08:30,82,28.017,-97.5169,80.85,scattered clouds,11.92
39,Jalu,0,NE,2021-06-01 02:08:30,38,29.0331,21.5482,74.3,clear sky,12.86
40,Salta,0,NE,2021-06-01 02:08:31,75,-24.7859,-65.4117,49.57,clear sky,1.99
41,Airai,26,NE,2021-06-01 02:08:31,57,-8.9266,125.4092,73.06,scattered clouds,2.24
42,Port Elizabeth,40,NE,2021-06-01 02:08:31,79,-33.918,25.5701,49.1,scattered clouds,13.22
43,Cape Town,16,NE,2021-06-01 02:08:02,93,-33.9258,18.4232,54.12,few clouds,1.01
44,Flinders,96,NE,2021-06-01 02:08:31,59,-34.5833,150.8552,70.05,overcast clouds,1.99
45,Chokurdakh,9,NE,2021-06-01 02:08:32,25,70.6333,147.9167,69.57,clear sky,10.92
46,Carnarvon,14,NE,2021-06-01 02:08:32,68,-24.8667,113.6333,64.47,few clouds,11.5
47,Barrow,90,NE,2021-06-01 02:08:32,80,71.2906,-156.7887,32.02,overcast clouds,16.11
48,Weiser,11,NE,2021-06-01 02:08:32,33,44.251,-116.9693,89.8,few clouds,4.05
49,Hobart,75,NE,2021-06-01 02:08:32,67,-42.8794,147.3294,57.22,light rain,4.0
50,Punta Arenas,20,NE,2021-06-01 02:08:33,69,-53.15,-70.9167,33.91,few clouds,2.01
51,Torbay,100,NE,2021-06-01 02:08:33,88,47.6666,-52.7314,48.27,overcast clouds,10.67
52,Ughelli,100,NE,2021-06-01 02:08:33,97,5.4899,6.0074,75.18,overcast clouds,2.68
53,New Norfolk,100,NE,2021-06-01 02:14:16,56,-42.7826,147.0587,56.88,overcast clouds,6.51
54,Port Lincoln,100,NE,2021-06-01 02:08:34,45,-34.7333,135.8667,64.89,overcast clouds,12.19
55,Marsh Harbour,100,NE,2021-06-01 02:05:33,79,26.5412,-77.0636,78.3,light rain,13.38
56,Vaini,100,NE,2021-06-01 02:08:34,87,-21.2,-175.2,71.31,light rain,7.29
57,Kalaleh,0,NE,2021-06-01 02:08:34,88,37.3807,55.4916,67.6,clear sky,0.0
58,Pangody,3,NE,2021-06-01 02:08:34,48,65.85,74.4859,44.89,clear sky,11.39
59,Kaitangata,60,NE,2021-06-01 02:08:35,63,-46.2817,169.8464,52.93,broken clouds,6.49
60,Maputo,3,NE,2021-06-01 02:05:00,85,-25.9653,32.5892,66.22,clear sky,7.0
61,Tasiilaq,30,NE,2021-06-01 02:08:35,85,65.6145,-37.6368,32.16,scattered clouds,2.21
62,Berezovyy,7,NE,2021-06-01 02:08:35,37,51.6667,135.7,71.06,clear sky,4.25
63,Juneau,100,NE,2021-06-01 02:04:09,98,58.3019,-134.4197,55.85,moderate rain,4.0
64,Upernavik,98,NE,2021-06-01 02:08:35,85,72.7868,-56.1549,30.56,overcast clouds,3.33
65,Longyearbyen,100,NE,2021-06-01 02:03:44,88,78.2186,15.6401,34.5,overcast clouds,3.85
66,Neepawa,84,NE,2021-06-01 02:08:36,51,50.2289,-99.4664,62.96,broken clouds,8.08
67,Hofn,90,NE,2021-06-01 02:08:36,89,64.2539,-15.2082,45.12,overcast clouds,3.06
68,Lokosovo,100,NE,2021-06-01 02:08:36,83,61.1333,74.8167,41.32,overcast clouds,11.56
69,Soma,100,NE,2021-06-01 02:08:36,92,39.1855,27.6094,60.98,overcast clouds,4.5
70,Cherskiy,81,NE,2021-06-01 02:08:37,21,68.75,161.3,66.43,broken clouds,9.84
71,Hermanus,42,NE,2021-06-01 02:08:37,81,-34.4187,19.2345,53.91,light rain,4.21
72,Port Hedland,57,NE,2021-06-01 02:08:37,35,-20.3167,118.5667,73.45,broken clouds,16.11
73,Abu Dhabi,5,NE,2021-06-01 02:05:48,66,24.4667,54.3667,86.02,clear sky,11.5
74,Yeppoon,79,NE,2021-06-01 02:08:37,68,-23.1333,150.7333,65.98,broken clouds,12.17
75,Gulmarg,93,NE,2021-06-01 02:08:38,74,34.049,74.3921,51.06,overcast clouds,1.5
76,Waingapu,98,NE,2021-06-01 02:08:38,65,-9.6567,120.2641,82.38,overcast clouds,6.58
77,Ribeira Grande,95,NE,2021-06-01 02:08:38,74,38.5167,-28.7,61.0,overcast clouds,17.49
78,Sorland,99,NE,2021-06-01 02:08:38,83,67.667,12.6934,47.97,overcast clouds,0.6
79,Nemuro,6,NE,2021-06-01 02:08:39,76,43.3236,145.575,44.76,clear sky,8.14
80,Busselton,64,NE,2021-06-01 02:08:39,80,-33.65,115.3333,55.09,broken clouds,6.53
81,Hilo,75,NE,2021-06-01 02:08:39,83,19.7297,-155.09,83.28,broken clouds,9.22
82,Saint-Pierre,0,NE,2021-06-01 02:08:39,70,-21.3393,55.4781,73.04,clear sky,6.91
83,La Colorada,100,NE,2021-06-01 02:08:39,80,8.0167,-80.9833,77.76,overcast clouds,4.27
84,Noumea,38,NE,2021-06-01 02:08:40,99,-22.2763,166.4572,75.0,scattered clouds,9.78
85,Vertientes,84,NE,2021-06-01 02:08:40,89,21.2594,-78.1464,75.81,broken clouds,13.18
86,Buin,65,NE,2021-06-01 02:08:40,37,-33.7333,-70.75,63.73,broken clouds,3.8
87,Katobu,97,NE,2021-06-01 02:08:40,62,-4.9408,122.5276,85.03,overcast clouds,5.57
88,Khatanga,100,NE,2021-06-01 02:08:41,77,71.9667,102.5,35.01,overcast clouds,8.52
89,Arlit,64,NE,2021-06-01 02:08:41,9,18.7369,7.3853,88.83,broken clouds,9.37
90,Murray Bridge,100,NE,2021-06-01 02:08:41,29,-35.1167,139.2667,67.12,light rain,8.12
91,Ninohe,55,NE,2021-06-01 02:08:42,46,40.2724,141.3061,67.5,broken clouds,5.28
92,Kapaa,75,NE,2021-06-01 02:08:42,71,22.0752,-159.319,83.48,broken clouds,1.01
93,Saldanha,3,NE,2021-06-01 02:08:42,83,-33.0117,17.9442,57.0,clear sky,4.83
94,Paka,99,NE,2021-06-01 02:08:42,77,4.6374,103.4368,84.36,overcast clouds,4.21
95,Nicoya,11,NE,2021-06-01 02:08:42,72,10.1483,-85.452,80.15,few clouds,9.98
96,Kununurra,66,NE,2021-06-01 02:14:17,37,-15.7667,128.7333,84.18,broken clouds,5.75
97,Finschhafen,100,NE,2021-06-01 02:08:43,91,-6.6024,147.8681,78.19,moderate rain,11.16
98,Sobolevo,7,NE,2021-06-01 02:08:43,80,54.4299,31.8996,39.27,clear sky,3.38
99,Arraial Do Cabo,100,NE,2021-06-01 02:08:43,91,-22.9661,-42.0278,71.28,moderate rain,8.63
100,Terrace,100,NE,2021-06-01 02:08:43,99,54.5163,-128.6035,56.43,moderate rain,2.44
101,Mahebourg,14,NE,2021-06-01 02:08:44,79,-20.4081,57.7,70.25,light rain,9.24
102,Oranjestad,20,NE,2021-06-01 02:08:44,74,12.524,-70.027,82.35,few clouds,20.71
103,Okato,84,NE,2021-06-01 02:08:44,65,-39.2,173.8833,56.43,broken clouds,7.2
104,San Jeronimo,89,NE,2021-06-01 02:08:44,84,-11.9472,-75.2829,47.71,light rain,3.22
105,Anadyr,0,NE,2021-06-01 02:08:45,46,64.75,177.4833,46.9,clear sky,10.6
106,Kalamb,57,NE,2021-06-01 02:08:45,78,19.05,73.95,76.48,broken clouds,5.3
107,Flin Flon,100,NE,2021-06-01 02:08:45,96,54.7682,-101.865,52.86,overcast clouds,4.79
108,Mar Del Plata,100,NE,2021-06-01 02:08:45,1,-38.0023,-57.5575,54.09,light rain,10.0
109,Abu Samrah,0,NE,2021-06-01 02:08:46,57,35.3029,37.1841,66.81,clear sky,14.36
110,Bethel,1,NE,2021-06-01 02:05:23,87,41.3712,-73.414,57.72,clear sky,4.61
111,Georgetown,20,NE,2021-06-01 02:08:46,80,5.4112,100.3354,85.95,few clouds,3.0
112,Saint George,1,NE,2021-06-01 02:08:19,9,37.1041,-113.5841,95.47,clear sky,1.01
113,Oxford,51,NE,2021-06-01 02:04:48,83,51.7522,-1.256,54.48,broken clouds,4.5
114,Nikolskoye,67,NE,2021-06-01 02:08:46,89,59.7035,30.7861,48.09,broken clouds,3.89
115,Mundo Nuevo,17,NE,2021-06-01 02:08:46,78,18.7,-95.5,82.81,few clouds,16.02
116,Tiksi,7,NE,2021-06-01 02:08:47,65,71.6872,128.8694,49.57,clear sky,6.44
117,Richards Bay,100,NE,2021-06-01 02:08:47,75,-28.783,32.0377,65.88,overcast clouds,12.15
118,Hithadhoo,82,NE,2021-06-01 02:08:47,71,-0.6,73.0833,83.75,broken clouds,15.93
119,Abu Kamal,0,NE,2021-06-01 02:08:48,25,34.4506,40.9171,79.9,clear sky,10.09
120,Mirebalais,100,NE,2021-06-01 02:08:48,81,18.8333,-72.1053,81.32,overcast clouds,1.28
121,Faanui,64,NE,2021-06-01 02:08:48,68,-16.4833,-151.75,78.46,broken clouds,13.67
122,Mayo,1,NE,2021-06-01 02:08:48,86,38.8876,-76.5119,64.51,clear sky,5.86
123,Cabo San Lucas,2,NE,2021-06-01 02:08:37,60,22.8909,-109.9124,89.51,clear sky,9.57
