City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,2021-05-31 00:03:24,-45.4167,167.7167,47.3,96,100,5.55
1,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
2,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
3,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
4,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
5,Hobart,AU,2021-05-31 00:06:40,-42.8794,147.3294,48.25,79,40,4.63
6,Saskylakh,RU,2021-05-31 00:06:41,71.9167,114.0833,39.97,78,62,4.21
7,Tancitaro,MX,2021-05-31 00:06:41,19.3333,-102.3667,64.42,53,83,6.02
8,Mataura,NZ,2021-05-31 00:03:30,-46.1927,168.8643,49.48,98,100,4.25
9,Yellowknife,CA,2021-05-31 00:01:57,62.456,-114.3525,51.3,57,77,1.01
10,Saint-Philippe,RE,2021-05-31 00:05:50,-21.3585,55.7679,71.19,81,33,5.64
11,Diego De Almagro,CL,2021-05-31 00:06:41,-26.3667,-70.05,62.04,49,0,2.42
12,Tuktoyaktuk,CA,2021-05-31 00:06:42,69.4541,-133.0374,40.28,66,4,2.21
13,Ushuaia,AR,2021-05-31 00:03:02,-54.8,-68.3,21.15,97,100,2.64
14,Vaini,TO,2021-05-31 00:06:42,-21.2,-175.2,71.76,94,90,6.91
15,Sorland,NO,2021-05-31 00:06:42,67.667,12.6934,45.84,93,100,9.37
16,Talcahuano,CL,2021-05-31 00:06:43,-36.7167,-73.1167,55.08,88,90,6.91
17,Talnakh,RU,2021-05-31 00:06:43,69.4865,88.3972,35.26,99,100,11.12
18,Harrisonburg,US,2021-05-31 00:06:43,38.4496,-78.8689,57.15,60,99,3.71
19,Dikson,RU,2021-05-31 00:06:43,73.5069,80.5464,30.34,98,100,4.18
20,Kapaa,US,2021-05-31 00:06:07,22.0752,-159.319,84.52,76,20,5.01
21,Marzuq,YE,2021-05-31 00:06:44,14.4,46.4667,77.7,38,0,3.51
22,Riyadh,SA,2021-05-31 00:03:44,24.6877,46.7219,87.17,13,0,2.53
23,Ribeira Grande,PT,2021-05-31 00:06:44,38.5167,-28.7,64.0,84,81,6.35
24,Akersberga,SE,2021-05-31 00:06:44,59.4794,18.2997,52.88,66,42,6.96
25,Sunrise Manor,US,2021-05-31 00:06:44,36.2111,-115.0731,100.81,7,1,3.44
26,Namatanai,PG,2021-05-31 00:06:44,-3.6667,152.4333,84.06,71,94,8.25
27,Gilgit,PK,2021-05-31 00:06:45,35.9221,74.3087,69.62,58,100,4.59
28,Bonavista,CA,2021-05-31 00:06:45,48.6499,-53.1147,44.11,66,6,5.37
29,Xifeng,CN,2021-05-31 00:06:45,42.7372,124.7222,68.05,48,8,5.53
30,Oussouye,SN,2021-05-31 00:06:46,12.485,-16.5469,75.15,76,100,9.75
31,Ponta Do Sol,PT,2021-05-31 00:06:46,32.6667,-17.1,65.03,53,21,3.65
32,Carnarvon,AU,2021-05-31 00:03:49,-24.8667,113.6333,63.75,63,52,13.58
33,Tiksi,RU,2021-05-31 00:06:46,71.6872,128.8694,36.91,84,78,6.44
34,Bluff,NZ,2021-05-31 00:05:51,-46.6,168.3333,49.8,89,100,21.63
35,Fairbanks,US,2021-05-31 00:06:46,64.8378,-147.7164,67.24,37,20,6.91
36,Isangel,VU,2021-05-31 00:06:46,-19.55,169.2667,74.07,63,50,8.46
37,Atuona,PF,2021-05-31 00:02:45,-9.8,-139.0333,79.56,64,6,9.26
38,Chuy,UY,2021-05-31 00:05:56,-33.6971,-53.4616,43.79,73,5,6.76
39,Tautira,PF,2021-05-31 00:06:47,-17.7333,-149.15,82.42,72,91,16.6
40,Hermanus,ZA,2021-05-31 00:05:52,-34.4187,19.2345,56.89,74,98,7.45
41,Santa Rosa,PH,2021-05-31 00:06:47,14.3122,121.1114,89.11,80,86,4.43
42,Encruzilhada Do Sul,BR,2021-05-31 00:06:47,-30.5439,-52.5219,40.35,69,18,2.75
43,Tunceli,TR,2021-05-31 00:06:48,39.1083,39.5471,54.46,43,0,4.59
44,Veraval,IN,2021-05-31 00:06:48,20.9,70.3667,82.65,76,47,11.52
45,Samarai,PG,2021-05-31 00:06:48,-10.6167,150.6667,80.31,75,99,16.11
46,New Norfolk,AU,2021-05-31 00:04:05,-42.7826,147.0587,47.91,67,50,3.2
47,Ardee,IE,2021-05-31 00:06:48,53.8597,-6.5406,53.65,89,2,2.33
48,Nikolskoye,RU,2021-05-31 00:04:22,59.7035,30.7861,39.09,70,10,2.46
49,Coos Bay,US,2021-05-31 00:06:49,43.3665,-124.2179,87.01,67,1,16.11
50,La Palma,US,2021-05-31 00:06:49,33.8464,-118.0467,86.95,65,1,5.99
51,Rivne,UA,2021-05-31 00:06:49,50.6231,26.2274,46.83,96,100,10.33
52,Tenango,MX,2021-05-31 00:06:50,18.65,-98.1833,85.03,31,51,12.15
53,Lagoa,PT,2021-05-31 00:06:10,39.05,-27.9833,62.51,87,84,8.9
54,Stykkisholmur,IS,2021-05-31 00:06:50,65.0757,-22.7297,41.54,85,78,13.18
55,Tumut,AU,2021-05-31 00:06:50,-35.3,148.2167,43.79,49,0,0.6
56,Kodiak,US,2021-05-31 00:06:51,57.79,-152.4072,49.51,76,90,12.66
57,Westport,US,2021-05-31 00:06:51,41.1415,-73.3579,51.78,93,90,1.01
58,Castro,BR,2021-05-31 00:06:51,-24.7911,-50.0119,56.25,99,100,3.09
59,Tonstad,NO,2021-05-31 00:06:51,58.6626,6.7169,48.34,71,35,1.81
60,Bethel,US,2021-05-31 00:06:52,41.3712,-73.414,49.95,91,100,1.01
61,Provideniya,RU,2021-05-31 00:05:38,64.3833,-173.3,51.91,50,0,22.37
62,Cherskiy,RU,2021-05-31 00:06:52,68.75,161.3,62.42,28,0,4.9
63,Puerto Ayora,EC,2021-05-31 00:06:52,-0.7393,-90.3518,74.55,85,20,8.99
64,Arazede,PT,2021-05-31 00:06:52,40.2863,-8.65,63.91,92,3,1.28
65,Lucea,JM,2021-05-31 00:06:53,18.451,-78.1736,81.86,73,33,2.51
66,Asau,RO,2021-05-31 00:06:53,46.4333,26.4,52.72,96,85,2.13
67,San Carlos Del Zulia,VE,2021-05-31 00:06:53,9.0,-71.9135,78.93,82,68,4.63
68,Tula,RU,2021-05-31 00:06:53,54.2044,37.6111,48.6,92,100,11.14
69,Rikitea,PF,2021-05-31 00:03:39,-23.1203,-134.9692,75.34,67,88,12.26
70,Port-Gentil,GA,2021-05-31 00:06:35,-0.7193,8.7815,79.09,85,94,17.31
71,Bredasdorp,ZA,2021-05-31 00:06:54,-34.5322,20.0403,52.65,76,85,4.7
72,Mikuni,JP,2021-05-31 00:06:54,36.2171,136.1519,64.29,61,0,3.0
73,Glenwood Springs,US,2021-05-31 00:06:54,39.5505,-107.3248,69.89,44,89,1.99
74,Arraial Do Cabo,BR,2021-05-31 00:06:54,-22.9661,-42.0278,75.06,88,75,5.75
75,Cayenne,GF,2021-05-31 00:04:45,4.9333,-52.3333,80.1,86,0,1.99
76,Punta Arenas,CL,2021-05-31 00:06:55,-53.15,-70.9167,33.91,69,75,6.71
77,Hilo,US,2021-05-31 00:05:47,19.7297,-155.09,86.29,77,75,16.11
78,Lasa,IT,2021-05-31 00:06:55,46.6166,10.7002,51.62,82,20,1.74
79,Airai,TL,2021-05-31 00:06:01,-8.9266,125.4092,64.92,71,100,1.92
80,Victoria,HK,2021-05-31 00:06:55,22.2855,114.1577,86.97,88,100,1.99
81,Sur,OM,2021-05-31 00:06:56,22.5667,59.5289,90.41,38,87,11.25
82,Cidreira,BR,2021-05-31 00:06:56,-30.1811,-50.2056,50.65,58,24,6.4
83,Ravar,IR,2021-05-31 00:06:56,31.2656,56.8055,79.59,10,0,0.72
84,Peniche,PT,2021-05-31 00:06:56,39.3558,-9.3811,65.62,91,9,4.47
85,Rodrigues Alves,BR,2021-05-31 00:06:57,-7.738,-72.6509,76.59,83,82,0.56
86,Salym,RU,2021-05-31 00:06:57,60.0625,71.4789,58.26,82,62,4.92
87,Albany,US,2021-05-31 00:03:35,42.6001,-73.9662,48.38,94,100,5.26
88,Atar,MR,2021-05-31 00:06:57,20.5169,-13.0499,91.38,26,72,3.24
89,Bissora,GW,2021-05-31 00:06:57,12.2231,-15.4475,76.33,68,100,4.76
90,Butaritari,KI,2021-05-31 00:06:01,3.0707,172.7902,83.07,77,72,13.33
91,Cape Town,ZA,2021-05-31 00:06:58,-33.9258,18.4232,57.11,87,87,4.65
92,Linares,CL,2021-05-31 00:06:58,-35.85,-71.6,50.29,70,100,3.09
93,Vaitape,PF,2021-05-31 00:06:58,-16.5167,-151.75,79.81,73,98,16.08
94,Roanoke Rapids,US,2021-05-31 00:06:58,36.4615,-77.6542,59.2,70,82,8.52
95,Avarua,CK,2021-05-31 00:06:08,-21.2078,-159.775,78.85,57,52,11.5
96,Port Alfred,ZA,2021-05-31 00:06:59,-33.5906,26.891,57.74,65,98,14.47
97,Seddon,AU,2021-05-31 00:06:59,-37.8068,144.8916,56.46,70,0,5.99
98,Chengde,CN,2021-05-31 00:06:59,40.9725,117.9361,64.2,46,95,1.7
99,Sobolevo,RU,2021-05-31 00:07:00,54.4299,31.8996,40.24,70,90,8.21
100,Pozo Colorado,PY,2021-05-31 00:07:00,-23.4923,-58.7972,67.23,30,99,8.43
101,Gorontalo,ID,2021-05-31 00:07:00,0.5412,123.0595,80.67,80,94,1.14
102,Muroto,JP,2021-05-31 00:07:00,33.2833,134.15,69.8,61,0,7.11
103,Itarema,BR,2021-05-31 00:07:01,-2.9248,-39.9167,78.39,80,2,12.39
104,Chokurdakh,RU,2021-05-31 00:07:01,70.6333,147.9167,64.51,25,12,12.82
105,Iralaya,HN,2021-05-31 00:07:01,15.0,-83.2333,80.91,75,37,8.9
106,Busselton,AU,2021-05-31 00:07:01,-33.65,115.3333,52.09,68,89,12.88
107,Saint-Augustin,CA,2021-05-31 00:07:02,51.226,-58.6502,51.96,56,2,10.54
